上课人公司,上课人职务,大行业,行业,附件
广东麦多多实业有限公司,总经理,科技,3c数码,
广东麦多多实业有限公司,总经理,跨境电商,电商,
广东麦多多实业有限公司,总经理,科技,电子行业,
广东麦多多实业有限公司,总经理,消费品,数码配件,
广东麦多多实业有限公司,总经理,消费品,消费电子,
北京格雷,经理,其他,NULL,
北京南城香餐饮有限公司,副总经理,其他,NULL,
北京学而思教育科技有限公司,战略研究负责人,其他,NULL,
长沙味之翼湘餐饮有限公司,董事,餐饮,餐饮行业,
长沙誉文科技有限公司,经理,消费品,健康产品,
大汇网络科技,NULL,跨境电商,跨境电商,
东莞市华世食品有限公司,项目经理,其他,服务业,
冬嘻企业管理咨询有限公司,创始人,其他,NULL,
发颜悦色,创始人,消费品,新消费,
发颜悦色,创始人,科技,移动互联网,
高梵（浙江）信息技术有限公司,董事长,其他,NULL,
个人,创始人,其他,地产,
个人,经理,消费品,服装零售,
个人,课程设计,其他,地产,
古帆餐具（上海）有限公司,NULL,其他,NULL,
广东建元玩具实业有限公司,产品,其他,制造业,
广东快康健康咨询有限公司,创始人,其他,健康行业,
广东麦多多实业有限公司,产品经理,消费品,数码配件,
广东麦多多实业有限公司,电商经理,消费品,数码配件,
广东省拼奇文化科技有限公司,HRD,消费品,玩具,
广东省拼奇文化科技有限公司,VP,消费品,快销,
广州博志商贸有限公司,营销部主管,其他,NULL,
广州秘令科技有限公司,董事长,消费品,美容,
广州摩打餐饮服务有限公司,NULL,其他,NULL,
广州摩匠餐饮服务有限公司,产品经理,由于<|行业|>字段的值为NULL，无法判断属于哪个行业，因此答案为其他。,NULL,
广州摩客贸易有限公司,NULL,消费品,服装,
广州青花瓷健康科技有限公司,总监,其他,NULL,
广州市厚薄服饰有限公司,客服经理,其他,NULL,
广州市原上服饰实业有限公司,商品企划,其他,NULL,
广州市原上服饰实业有限公司,新零售主管,其他,NULL,
广州思迈新服饰有限公司,副总,跨境电商,跨境电商,
广州兴趣岛信息科技有限公司,产品,其他,教育,
广州兴趣岛信息科技有限公司,内容经理,科技,教育培训/互联网,
广州兴趣岛信息科技有限公司,用户满意品控和升级中心负责人,科技,教育培训/互联网,
广州星际悦动股份有限公司,NULL,其他,NULL,
贵州天地人和酒业有限公司,NULL,消费品,批发零售,
贵州喜百年装饰工程有限公司,策划总监,消费品,装饰家居,
桂满陇餐饮,ceo,餐饮,餐饮,
杭州艾啦时尚品牌管理有限公司,NULL,其他,国内电商,
杭州艾啦时尚品牌管理有限公司,ceo,消费品,国内电商,
杭州布道教育科技有限公司,产品主管,其他,服务,
杭州布道教育科技有限公司,老师,其他,服务,
杭州布道教育科技有限公司,品牌总监,其他,服务,
杭州布道教育科技有限公司,视觉总监,其他,服务,
杭州恩采文化创意有限公司,ceo,跨境电商,电商,
杭州方回春堂集团有限公司,总经理,其他,医疗,
杭州靖安科技有限公司,体验设计专家,科技,IT,
杭州靖安科技有限公司,体验设计专家,科技,计算机软件,
杭州维学新知网络科技有限公司,负责人,其他,NULL,
杭州研趣信息技术有限公司,市场营销总监,其他,检测,
杭州瑶宝婴童用品有限公司,NULL,其他,NULL,
杭州瑶宝婴童用品有限公司,小红书运营主管,其他,NULL,
和也健康科技有限公司,副总经理,其他,NULL,
湖南厘享健康科技有限公司,副总,其他,NULL,
吉林省艾檬电子有限公司,NULL,其他,NULL,
吉林省艾檬电子有限公司,产品经理,其他,NULL,
吉林省艾檬电子有限公司,总经理,其他,NULL,
江门市新会区葵记食品有限公司,CEO,其他,NULL,
江南布衣服饰有限公司,NULL,其他,NULL,
江苏享佳健康科技股份有限公司,NULL,其他,医疗,
江西美尔丝瓜络有限公司,销售经理,消费品,个护家清,
江西心隐企业管理咨询有限公司,区域经理,其他,美容SPA/健康管理,
金华市常资健健康科技有限公司,总经理助理,其他,NULL,
金华小桔灯清洁用品有限公司,经理,其他,NULL,
昆明冠生园食品有限公司,总经理,其他,NULL,
兰本味（北京）餐饮有限公司,副总经理,其他,NULL,
柳州市远黛贸易有限公司,总经理,其他,NULL,
明月镜片股份有限公司,NULL,由于没有提供<|行业|>的具体内容，无法准确判断所属行业，请补充<|行业|>的具体信息。 ,System.String[],
明月镜片股份有限公司,总经理,由于未给出<|行业|>具体内容，无法判断所属行业。请提供<|行业|>的具体信息。 ,System.String[],
南昌美博文化传媒有限公司,副总经理,消费品,服饰内衣,
南京善小仙生物科技有限公司,NULL,其他,NULL,
南京图益创意科技有限公司,NULL,消费品,益智玩具,
南京图益创意科技有限公司,董事长,消费品,益智玩具,
年年有余（浙江）文化科技有限公司,视觉总监,其他,NULL,
佩合社群,产品研发负责人,其他,NULL,
启晟（天津）宠物医院管理有限公司,城市经理,其他,NULL,
潜江市蓝天教育集团,投资人,其他,NULL,
泉州唐人制衣有限公司,董事长,其他,NULL,
善陆（上海）健康管理咨询有限公司,CHO,其他,NULL,
上海房外房信息科技有限公司,分析师,其他,房地产,
上海冠升教育科技有限公司,国际事业,其他,NULL,
上海空空无言文化传播有限公司,NULL,科技,高新科技,
上海空空无言文化传播有限公司,CEO,其他,教育,
上海七壶餐饮管理有限公司,NULL,其他,NULL,
上海七十迈数字科技有限公司,电商运营主管,科技,物联网科技,
上海七小七贸易有限公司,NULL,其他,NULL,
上海启堂贸易有限公司,经理,其他,NULL,
上海泰岚信息科技有限公司,副总经理,跨境电商,跨境电商,
上海怡科经贸有限公司,NULL,跨境电商,跨境电商,
上海英利生贸易有限公司,營運總監,消费品,服饰服装,
上海泽田餐饮管理有限公司,品牌经理,其他,NULL,
深圳步步为饮网络科技有限公司,总经理,其他,NULL,
深圳京正康源商贸有限公司,设计运营经理,其他,新零售,
深圳京正康源商贸有限公司,市场总监,消费品,新零售,
深圳京正康源商贸有限公司,销售总监,消费品,新零售,
深圳酷骑童趣科技有限公司,创始人,其他,NULL,
深圳酷骑童趣科技有限公司,品牌种草负责人,其他,NULL,
深圳酷骑童趣科技有限公司,销售部经理,其他,NULL,
深圳酷骑童趣科技有限公司,用户运营主管,其他,NULL,
深圳酷骑童趣科技有限公司,运营经理,其他,NULL,
深圳浪琪科技有限公司,CEO,其他,NULL,
深圳里子科技贸易有限公司,运营,消费品,新零售,
深圳市布宜诺实业有限公司,暂无,其他,NULL,
深圳市创拓电子商务有限公司,运营,跨境电商,跨境电商,
深圳市东森餐饮管理有限公司,品牌市场专员,其他,NULL,
深圳市对庄科技有限公司,NULL,跨境电商,电子商务,
深圳市甘棠明善企业管理集团有限公司,运营总监,餐饮,餐饮,
深圳市歌瑞创新信息技术有限公司,NULL,跨境电商,跨境电商,
深圳市欧莎世家服饰有限公司,VP,其他,NULL,
深圳市启扬利泽商务服务有限责任公司,总经理,由于提供的行业数据为 NULL，无法判断所属行业，故填其他,NULL,
深圳市沃博尔科技有限公司,运营总监,消费品,3C手机数码,
深圳市鑫尼达科技有限公司,销售主管,跨境电商,跨境电商,
深圳太阳升贸易有限公司,运营,其他,NULL,
深圳唯乐高科技有限公司,CMO,其他,NULL,
深圳盈富斯科技有限公司,产品,跨境电商,跨境电商,
嵊州市金帝智能厨电有限公司,市场总监,其他,NULL,
北海逮虾记食品有限公司,CMO,消费品,食品,
北海逮虾记食品有限公司,合伙人&电商总经理,消费品,食品,
北京华睿博视医学影像技术有限公司,NULL,其他,医疗,
北京七个小伙伴传媒科技有限公司,CEO,其他,自媒体,
北京思无疆科技有限公司,CEO,消费品,食品,
北京下厨房科技有限公司,品牌营销经理,消费品,国内电商,
北京新世纪青年饮食有限公司,市场,餐饮,餐饮,
北京阳坊胜利饮食文化发展有限公司,会员总监,餐饮,餐饮,
长沙誉文科技有限公司,NULL,消费品,健康产品,
成都一起精彩体育发展有限公司,教研产品负责人,其他,教育,
大树小树儿童摄影,总经理,其他,NULL,
个人,经理,其他,地产,
广东参之源健康科技有限公司,NULL,消费品,滋补,
广东参之源健康科技有限公司,Ka负责人,消费品,零售,
广东参之源健康科技有限公司,运营总监,消费品,滋补,
广东麦多多实业有限公司,电商经理,科技,电子行业,
广东麦多多实业有限公司,副总经理,消费品,3c数码,
广东骐麟文化产业有限公司,总经理,其他,NULL,
广东省拼奇文化科技有限公司,NULL,消费品,快销,
广东省拼奇文化科技有限公司,BM,消费品,玩具,
广东省拼奇文化科技有限公司,产品创意总监,消费品,快销,
广东省拼奇文化科技有限公司,联合创始人,消费品,玩具,
广州本自具足文化传媒有限公司,运营主管,其他,教育培训,
广州等我送上门餐饮有限公司,市场经理,其他,NULL,
广州摩匠餐饮有限公司,NULL,其他,NULL,
广州闪潮贸易有限公司,总经理,跨境电商," 电商",
广州思迈新服饰有限公司,NULL,跨境电商,跨境电商,
广州天成餐饮有限公司,培训经理,餐饮,餐饮,
广州兴趣岛信息科技有限公司,NULL,科技,教育培训/互联网,
广州兴趣岛信息科技有限公司,高级经理,科技,教育培训/互联网,
广州兴趣岛信息科技有限公司,品牌经理,其他,教育,
广州兴趣岛信息科技有限公司,人事副总裁,其他,教育,
广州兴趣岛信息科技有限公司,事业部负责人,其他,教育,
广州兴趣岛信息科技有限公司,事业部负责人,科技,教育培训/互联网,
锅圈,一般管理人员,其他,NULL,
杭州巴九灵文化创意股份有限公司,总经理,其他,教育,
杭州暴臻服饰有限公司,设计&视觉总监,其他,NULL,
杭州布道教育科技有限公司,设计师,其他,服务,
杭州布道教育科技有限公司,运营经理,其他,服务,
杭州布道教育科技有限公司,总裁,其他,服务,
杭州超级速度科技有限公司,创始人,其他,NULL,
杭州方回春堂集团有限公司,NULL,其他,医疗,
杭州汉夕互联网科技有限公司,联合创始人,其他,NULL,
杭州莫可科技有限公司,创始人,消费品,消费品,
杭州食验室营销有限公司,总经理,其他,NULL,
杭州星洢科技有限公司,直播,"消费品

新媒体电商主要是通过新媒体平台进行商品销售，商品属于消费品范畴，所以该单元格应填“消费品” 。虽然新媒体电商和跨境电商可能存在一定交叉，但仅说新媒体电商不能直接判定为跨境电商；新媒体电商主要销售商品而非提供餐饮服务，不属于餐饮行业；科技行业主要侧重于技术研发等，新媒体电商核心还是商品销售；所以不属于“跨境电商”“餐饮”“科技”“其他”，应选“消费品”。 ",新媒体电商,
杭州言天珠宝有限公司,创始人,其他,NULL,
杭州尤赫控股有限公司,ceo,其他,国内电商,
合肥蓝梦猫品牌管理有限公司,供应链,其他,NULL,
合肥亿行医药有限公司,NULL,其他,NULL,
呼和浩特市新途径培训服务有限公司,项目经理,其他,NULL,
吉林省瑞曼沃德服饰有限公司,NULL,其他,NULL,
嘉兴瑞仪母婴服务有限公司,经理,其他,NULL,
锦轩餐饮公司,经理,其他,NULL,
立华合创（武汉）生物科技有限公司,包装设计,其他,NULL,
溧阳市天目湖南山竹海旅游有限公司,NULL,其他,NULL,
庐山鹏川文化有限公司,运营总监,其他,NULL,
马克实业（深圳）有限公司,创始人/品牌总监,消费品,电子商务/文化创意消费品,
南京呼吸康医疗器械有限公司,连锁运营部负责人,其他,医疗,
南京尚艺良品科技有限公司,C E O,其他,NULL,
宁波江北区婚纱美学艺术中心,总经理,其他,NULL,
秦皇岛易美特健身服务有限公司,老板,其他,NULL,
青岛伊可普电器有限公司,总经理,跨境电商,跨境电商,
山西袋鼠先生商贸有限公司,抖音负责人,其他,NULL,
汕头市华乐福食品有限公司,总经理,消费品,休闲食品,
上海艾雷电子商务有限公司,CRM部经理,消费品,电商消费,
上海德晖景和投资管理有限公司,品牌负责人,其他,NULL,
上海锦河餐饮管理有限公司,新项目总监,餐饮,餐饮,
上海空空无言文化传播有限公司,CEO,科技,高新科技,
上海空空无言文化传播有限公司,品牌发展负责人,其他,教育,
上海空空无言文化传播有限公司,运营,科技,高新科技,
上海来伊份股份有限公司,用户体验研究,消费品,食品,
上海满小饱食品科技有限公司,经销总监,其他,NULL,
上海盘点食品科技有限公司,市场部,其他,NULL,
上海七十迈数字科技有限公司,整合营销,科技,物联网科技,
上海始然服饰有限公司,总经理,其他,NULL,
上海世达食品有限公司,NULL,其他,NULL,
上海世达食品有限公司,产品经理,其他,NULL,
上海围圆互联网信息技术有限公司,营销经理,其他,文化,
上海西夜餐饮有限公司,经理,由于引用数据中行业字段为 NULL，无法判断所属行业，所以答案为其他,NULL,
上海英利生,NULL,其他,NULL,
上海优十二教育科技有限公司,运营总监,其他,NULL,
上海远铸智能技术有限公司,亚太区负责人,其他,NULL,
深圳艾上瑜伽普拉提,股东,其他,瑜伽健身,
深圳大汇家居有限公司,HR,跨境电商,跨境电商,
深圳光煦科技有限公司,coo,跨境电商,电子商务,
深圳酷骑童趣科技有限公司,创意/设计总监,其他,NULL,
深圳绿米联创科技有限公司,设计主管,科技,科技,
深圳市布宜诺实业有限公司,NULL,其他,NULL,
深圳市成塔服饰有限公司,副总经理,其他,NULL,
深圳市东森餐饮管理有限公司,NULL,其他,NULL,
深圳市甘棠明善企业管理集团有限公司,NULL,科技,软件与信息服务,
深圳市歌瑞创新信息技术有限公司,老板,跨境电商,跨境电商,
深圳市菁创电子有限公司,HRBP,其他,NULL,
深圳市开度科技有限公司,产品经理,跨境电商,跨境电商,
深圳市开度科技有限公司,产品开发,跨境电商,跨境电商,
深圳市开度科技有限公司,运营组长,跨境电商,跨境电商,
深圳市蓝禾技术有限公司,产品经理,其他,国内电商,
深圳市榴芒一刻食品有限公司,NULL,其他,NULL,
深圳市路特创新科技有限公司,NULL,消费品,电商 母婴,
深圳市韶音科技有限公司,经理,消费品,国内电商,
深圳市沃博尔科技有限公司,运营总监,跨境电商,电商,
深圳市新昱佑科技有限公司,品牌营销,其他,NULL,
深圳市鑫尼达科技有限公司,品牌主理人,跨境电商,跨境电商,
深圳市易联科电子有限公司,总经理,其他,NULL,
深圳西贝喜悦餐饮有限公司,NULL,其他,NULL,
石狮束比服饰有限公司,经理,由于引用数据中行业为 NULL ，无法明确判断所属行业，故答案为其他,NULL,
四川阿遇餐饮管理有限公司,品牌经理,餐饮,餐饮,
苏州大禹数字文化科技集团有限公司,招商,其他,NULL,
苏州麦康企业管理服务有限公司,市场运营,其他,服务行业,
台州莹行服饰有限公司,副总,其他,国内电商,
zizi美妆,总经理,其他,NULL,
北京很久以前餐饮管理有限公司,总监,餐饮,餐饮行业,
北京全福凯旋家具有限公司,门店经理,其他,制造业,
北京思凯乐户外用品有限公司,总经理,其他,NULL,
北京新橙科技有限公司,NULL,其他,NULL,
北京学而思教育科技有限公司,NULL,其他,NULL,
北京映天下网络科技有限公司,CEO,科技,互联网,
必扑生物科技（青岛）有限公司,渠道总监,其他,NULL,
长沙市到家悠享网络科技有限公司,运营总监,科技,家政互联网,
长沙誉文科技有限公司,NULL,其他,医疗,
长沙誉文科技有限公司,PM,跨境电商,跨境电商,
长沙誉文科技有限公司,经理,其他,医疗,
成都馋堂餐饮,创始人,餐饮,餐饮,
成都一起精彩体育发展有限公司,联合创始人,其他,教育,
东方表行（中国）贸易有限公司,培训管理,其他,NULL,
东莞市酱心餐饮有限公司,助理,其他,NULL,
多福,运营,其他,NULL,
福建品品香茶业有限公司,培训总监,跨境电商,电子商务,
福建品品香茶业有限公司,直营总监,跨境电商,电子商务,
福州有家装饰工程有限公司,主播,其他,NULL,
个人,运营➕训练,其他,地产,
个人,运营➕训练,消费品,服装零售,
广东参之源健康科技有限公司,客服经理,消费品,零售,
广东参之源健康科技有限公司,商品价值开发负责人,消费品,零售,
广东建元玩具实业有限公司,NULL,其他,制造业,
广东麦多多实业有限公司,产品经理,跨境电商,电商,
广东麦多多实业有限公司,产品经理,消费品,消费电子,
广东麦多多实业有限公司,电商经理,跨境电商,电商,
广东麦多多实业有限公司,电商经理,消费品,消费电子,
广东省拼奇文化科技有限公司,HRD,消费品,快销,
广东省拼奇文化科技有限公司,VP,消费品,玩具,
广东省拼奇文化科技有限公司,产品创意总监,消费品,潮流玩具,
广东省拼奇文化科技有限公司,联合创始人,消费品,潮流玩具,
广东速塑服饰有限责任公司,创始人,其他,NULL,
广州发颜悦色信息科技有限公司,CEO,其他,NULL,
广州秘令科技有限公司,总裁,消费品,美容,
广州秘令科技有限公司,总裁,消费品,美容行业,
广州摩客贸易有限公司,主管,消费品,服装,
广州青花瓷健康科技有限公司,总经理,其他,NULL,
广州市花都区贝索斯日式餐饮有限公司,NULL,由于引用数据<|行业|>为 NULL，无法判断所属行业，因此答案为其他。,NULL,
广州市原上服饰实业有限公司,陈列设计,"由于引用数据中行业字段为 NULL，无法判断所属行业，答案选择其他。
其他",NULL,
广州兴趣岛信息科技有限公司,品牌经理,科技,教育培训/互联网,
广州一龙卓越餐饮管理有限公司,NULL,其他,NULL,
海南景咖科技有限公司,CEO,其他,住宿行业,
杭州暴臻服饰有限公司,总经理,其他,NULL,
杭州布道教育科技有限公司,店长,其他,服务,
杭州布道教育科技有限公司,供应链负责人,其他,服务,
杭州布道教育科技有限公司,品牌营销中心负责人,其他,服务,
杭州布道教育科技有限公司,商品总监,其他,服务,
杭州布道教育科技有限公司,市场部负责人,其他,服务,
杭州红盟引擎科技有限公司,曲线主义塑形服饰项目负责人,由于引用数据中行业字段为 NULL，无法判断属于哪个具体行业，所以答案为其他,NULL,
杭州银河山田食品科技有限公司,CEO,其他,NULL,
河北刘伶醉酿酒销售有限公司,NULL,其他,NULL,
湖南厘享健康科技有限公司,NULL,其他,NULL,
湖南省艾檬电子有限公司,业务经理,其他,NULL,
湖州函炜服饰有限公司,运营总监,其他,NULL,
济南想到文化传播有限公司,创始人,跨境电商,电商,
暨赛国际再生医学科技有限公司,执行董事,其他,NULL,
见鲸科技（南京）有限公司,产品,其他,NULL,
江苏万家如意食品有限公司,外卖总监,其他,NULL,
江苏万家如意食品有限公司,营销总监,由于提供的<|行业|>值为NULL，无法确定属于哪个行业，所以答案为其他,NULL,
江西心隐企业管理咨询有限公司,品牌线负责人,其他,美容SPA/健康管理,
劲霸男装（上海）有限公司,营销副总,消费品,服饰服装,
九江古方茶语品牌管理有限公司,副总经理,其他,NULL,
科美链电子商务（南京）有限公司,分总,其他,NULL,
柳州市远黛贸易有限公司,运营,其他,NULL,
南京启玺企业服务有限公司,经理,由于引用数据中行业信息为 NULL，无法判断具体所属行业，因此答案为其他。,NULL,
南宁高新区飞小邕餐饮店,区域经理,由于未给定<|行业|>的具体内容，无法判断属于哪个行业。,System.String[],
南通阁楼摄影有限公司,总经理,其他,NULL,
年年有余（浙江）文化科技有限公司,十三余主理人,其他,NULL,
宁波海曙盛园恒美口腔门诊部有限公司,运营副总,其他,NULL,
宁波芮芯母婴科技有限公司,ceo,其他,NULL,
帕格森蒂悦居（北京）酒店管理有限公司,CEO,其他,NULL,
佩合社群,品牌项目负责人,其他,NULL,
青岛海童母婴,创始人,跨境电商,电商,
青岛伊可普电器有限公司,副总,其他,国内电商,
青岛伊可普电器有限公司,广告经理,其他,国内电商,
青岛伊可普电器有限公司,营销,其他,国内电商,
青岛伊可普电器有限公司,营销,跨境电商,跨境电商,
瑞仪母婴,总经理,其他,NULL,
山姆会员店,会员体验总监,其他,NULL,
上海艾雷电子商务有限公司,产品经理,消费品,电商消费,
上海必看科技有限公司,CEO,其他,NULL,
上海薄荷健康科技股份有限公司,VP,其他,NULL,
上海聪颖文化用品有限公司,总经理,其他,NULL,
上海德晖景和投资管理有限公司,NULL,其他,NULL,
上海德晖景和投资管理有限公司,设计总监,其他,NULL,
上海德晖景和投资管理有限公司,数字化负责人,其他,NULL,
上海德晖景和投资管理有限公司,销售,其他,NULL,
上海洪旺餐饮,NULL,其他,NULL,
上海空空无言文化传播有限公司,运营,其他,教育,
上海领潮户外用品有限公司,经理,其他,NULL,
上海满小饱食品科技有限公司,NULL,其他,NULL,
上海敏豪懿初健康管理有限公司,总监,其他,健身,
上海胖鲸网络科技有限公司,coo,其他,医疗,
上海乾潢建筑装饰工程有限公司,总经理,其他,NULL,
上海睿一体育发展有限公司,合伙人,其他,大健康,
上海世达食品有限公司,總經理,其他,NULL,
上海世好食品股份有限公司,华北营销经理,其他,NULL,
上海世谊商贸有限公司,资深消费者体验专家,消费品,环保/家居健康,
上海谭浩餐饮管理有限公司,供应链经理,餐饮,餐饮,
上海希璞家具有限公司,总经理,其他,NULL,
上海喜敖马恩科技有限公司,NULL,其他,NULL,
上海相宜本草化妆品股份有限公司,产品经理,消费品,快消品,
上海英利生贸易有限公司,总监,消费品,服饰服装,
上海宇易生物科技有限公司,副总经理,其他,NULL,
上海域亦实业发展有限公司,NULL,其他,NULL,
上海域亦实业发展有限公司,法人,其他,NULL,
上海真观品牌管理有限公司,研究員,其他,NULL,
上海猪嗲嗲餐饮管理有限公司,品牌市场部负责人,其他,NULL,
上海左庭右院企业管理有限公司,训练优化总监,餐饮,餐饮,
深圳八零赞电子商务有限公司,创始人,跨境电商,电子商务,
深圳京正康源商贸有限公司,市场销售总监,消费品,新零售,
深圳京正康源商贸有限公司,运营经理,消费品,新零售,
深圳酷骑童趣科技有限公司,客服经理,其他,NULL,
深圳酷骑童趣科技有限公司,流量运营,其他,NULL,
深圳里子科技贸易有限公司,设计师,其他,新零售,
深圳市布宜诺实业有限公司,用户中心,其他,NULL,
奥迪,销售经理,其他,NULL,
北京很久以前餐饮管理有限公司,品牌营销经理,餐饮,餐饮行业,
北京华睿博视医学影像技术有限公司,NULL,科技,医疗影像,
北京全福凯旋家具有限公司,全国销售,其他,制造业,
北京全福凯旋家具有限公司,人力资源经理,消费品,家具行业,
北京全福凯旋家具有限公司,人力资源经理,其他,制造业,
北京世纪鲲鹏国际传媒广告有限公司,总经理,其他,NULL,
北京下厨房科技有限公司,供应链负责人,消费品,快消品,
北京新世纪青年饮食有限公司,NULL,餐饮,餐饮,
北京阳坊胜利饮食文化发展有限公司,总经理,餐饮,餐饮,
北京映天下网络科技有限公司,CEO,科技,数字营销,
长沙市到家悠享网络科技有限公司,NULL,科技,家政互联网,
长沙誉文科技有限公司,PM,消费品,健康产品,
成都彼得潘餐饮管理有限公司,总经理,其他,NULL,
成都品野生物科技有限公司,NULL,其他,NULL,
成都一起精彩体育发展有限公司,产品体验负责人,其他,教育,
多福,经理,其他,NULL,
佛山那哲空间设计有限公司,总经理,其他,NULL,
福建回魏餐饮管理有限公司,品牌总监,其他,NULL,
福建回魏餐饮管理有限公司,市场部经理,其他,NULL,
个人,创始人,消费品,服装零售,
个人,课程设计,消费品,美业,
光屿路得（上海）科技有限公司,CEO,由于提供的<|行业|>值为NULL，无法判断所属行业，所以填写：其他,NULL,
广东参之源健康科技有限公司,产品经理,消费品,滋补,
广东参之源健康科技有限公司,客服经理,消费品,滋补,
广东麦多多实业有限公司,产品经理,科技,3c数码,
广东麦多多实业有限公司,产品经理,科技,电子行业,
广东麦多多实业有限公司,电商经理,消费品,3c数码,
广东麦多多实业有限公司,副总经理,科技,电子行业,
广东民大投资集团有限公司赤坎分公司,副总裁,其他,NULL,
广东启迪,NULL,其他,NULL,
广东省拼奇文化科技有限公司,BM,消费品,潮流玩具,
广东狮想家科技有限公司,运营,科技,电商互联网,
广州巨浪餐饮管理有限公司,训练经理,其他,NULL,
广州乐悦文化投资有限公司,高级研发师,其他,NULL,
广州荔支网络技术有限公司,NULL,其他,NULL,
广州摩匠餐饮服务有限公司,研发负责人,其他,NULL,
广州暮嫣科技有限公司,NULL,"无法判断，建议补充相关信息。

由于引用数据中<|行业|>的值为NULL，没有具体的行业信息，所以无法按照要求从“跨境电商、消费品、餐饮、科技、其他”中选择一个进行填充。 ",NULL,
广州暮嫣科技有限公司,产品经理,其他,NULL,
广州市卓越里程教育科技股份有限公司,副总裁,其他,教育培训,
广州思迈新服饰有限公司,亚马逊门店运营经理,跨境电商,跨境电商,
广州西海岸餐饮管理有限公司天宜分公司,市场经理,餐饮,餐饮,
广州兴趣岛信息科技有限公司,产品,科技,教育培训/互联网,
广州兴趣岛信息科技有限公司,教研负责人,科技,教育培训/互联网,
广州兴趣岛信息科技有限公司,内容负责人,科技,教育培训/互联网,
广州兴趣岛信息科技有限公司,全国销售副总裁兼事业部总经理,其他,教育,
广州兴趣岛信息科技有限公司,运营经理,科技,教育培训/互联网,
广州雅梵哲生物技术有限公司,品牌中心策划总监,其他,NULL,
贵州天地人和酒业有限公司,NULL,其他,教育培训,
桂满陇餐饮,NULL,餐饮,餐饮,
海南景咖科技有限公司,董事长,其他,住宿,
海南景咖科技有限公司,董事长,其他,住宿行业,
杭州布道教育科技有限公司,高管,其他,服务,
杭州布道教育科技有限公司,品牌策划,其他,服务,
杭州番茄星球文化传播有限公司,CEO,其他,NULL,
杭州靖安科技有限公司,体验设计专家,科技,互联网,
杭州莉莉悠网络科技有限公司,NULL,其他,NULL,
杭州连童文化创意有限公司,NULL,其他,NULL,
杭州拾影家居有限公司,产品经理,其他,传统制造,
杭州维学新知网络科技有限公司,联合创始人,其他,NULL,
杭州小影创新科技股份有限公司,社媒运营,科技,出海互联网,
杭州星洢科技有限公司,CEO,科技,新媒体电商,
杭州易达工具有限公司,运营总监,跨境电商,跨境电商,
