上课人公司,上课人职务,大行业,行业,附件
杭州尤赫控股有限公司,线下运营负责人,消费品,国内电商,
河南国立米科斯科技有限公司,品牌经理,跨境电商,贸易/进出口,
河南九牛电子商务有限公司,运营总监,其他,NULL,
湖南可言可甜品牌管理有限公司,品牌经理,由于提供的<|行业|>信息为 NULL，无法判断属于哪个行业，故填充为其他,NULL,
湖南厘享健康科技有限公司,运营经理,其他,NULL,
湖州函炜服饰有限公司,品牌部经理,其他,NULL,
皇家生殖医院,总经理,其他,NULL,
惠州市虹霓贸易有限公司,经理,其他,NULL,
火炉旁,NULL,由于<|行业|>为NULL，无法判断所属行业，故输出为其他。,NULL,
江苏马可教育,NULL,其他,NULL,
江西万秘堂大药房连锁有限公司,CEO,其他,NULL,
劲霸男装（上海）有限公司,ceo,消费品,服饰服装,
劲霸男装（上海）有限公司,零售运营副总监,消费品,服饰服装,
劲霸男装（上海）有限公司,商品总监,消费品,服饰服装,
精酿,老板,其他,NULL,
立达幼师,负责人,其他,职业教育,
溧阳市天目湖南山竹海旅游有限公司,质量经理,其他,NULL,
卢冠锋,创始人,餐饮,餐饮行业,
美思薇,CEO,其他,NULL,
南京麦森生物科技有限公司,产品经理,其他,NULL,
宁波弥拓科技有限公司,总经理,其他,NULL,
启晟（天津）宠物医院管理有限公司,品牌负责人,其他,NULL,
轻松简单科技（深圳）有限公司,CPO,其他,文化艺术,
塞特知識股份有限公司,CEO,其他,NULL,
山东净颜社品牌管理有限公司,NULL,其他,NULL,
山东净颜社品牌管理有限公司,经理,其他,NULL,
陕西新熹餐饮管理有限公司,运营总监,其他,NULL,
上海艾雷电子商务有限公司,运营总监,消费品,电商消费,
上海德必文化创意产业发展（集团）股份有限公司,董事长助理,其他,服务业,
上海东制文化科技发展有限公司,NULL,由于<|行业|>字段为NULL，无法判断具体行业，因此填充为：其他,NULL,
上海房外房信息科技有限公司,会员服务负责人,其他,房地产,
上海箭扣体育文化传播有限公司,联合创始人,其他,NULL,
上海空空无言文化传播有限公司,NULL,其他,教育,
上海拉尔森汽车销售有限公司,NULL,由于引用数据中<|行业|>为 NULL，无法判断所属行业，答案为其他,NULL,
上海拉尔森汽车销售有限公司,Ceo,其他,NULL,
上海拉尔森汽车销售有限公司,总经理,其他,NULL,
上海满小饱食品科技有限公司,副总,其他,NULL,
上海满小饱食品科技有限公司,满小饱行销推广主管,其他,NULL,
上海曼伦商贸有限公司,总监,其他,NULL,
上海盘点食品科技有限公司,NULL,其他,NULL,
上海盘点食品科技有限公司,董事长,其他,NULL,
上海盘点食品科技有限公司,运营总监,其他,NULL,
上海七壶餐饮管理有限公司,常务副总,其他,NULL,
上海七十迈数字科技有限公司,产品总监,科技,物联网科技,
上海世达食品有限公司,副董事长,其他,NULL,
上海世好食品股份有限公司,高级培训经理,其他,NULL,
上海谭浩餐饮管理有限公司,人资中心负责人,餐饮,餐饮,
上海瞳话顾视智能科技有限公司,创始人,其他,NULL,
上海西夜餐饮有限公司,店长,其他,NULL,
上海绪启开物餐饮管理有限公司,NULL,餐饮,餐饮,
上海绪启开物餐饮管理有限公司,总经理助理,餐饮,餐饮,
上海耶里夏丽餐饮管理有限公司,NULL,餐饮,餐饮,
上海耶里夏丽餐饮管理有限公司,董事长,餐饮,餐饮,
Tohavit,主管,其他,NULL,
w cosmetics,director,其他,NULL,
阿仁（上海）信息科技有限公司,私董会教练,其他,培训咨询行业,
安徽微沃信息科技股份有限公司,总经理,跨境电商,跨境电商,
巴蜀大将,运营,其他,NULL,
北京聪明核桃教育科技有限公司,合伙人,其他,NULL,
北京广杰技术有限公司,经理,其他,NULL,
北京华睿博视医学影像技术有限公司,NULL,其他,医疗器械,
北京全福凯旋家具有限公司,全国销售,消费品,家具,
北京全福凯旋家具有限公司,全国销售,消费品,家具行业,
北京小罐茶业有限公司,运营总监,由于提供的<|行业|>字段值为 NULL，无法判断所属行业，故选择：其他,NULL,
北京新橙科技有限公司,流量增长负责人,其他,NULL,
北京新世纪青年饮食有限公司,店长,餐饮,餐饮,
北京雪鸮科技有限公司,NULL,其他,NULL,
北京亚克思维科技有限公司,CEO,由于提供的<|行业|>字段值为NULL，无法判断所属行业，因此答案为其他,NULL,
东莞市脑动创意文化传播有限公司,CEO,其他,NULL,
东莞市佐赫电子有限公司,合伙人,其他,NULL,
福州有家装饰工程有限公司,总经理,其他,NULL,
个人,课程设计,消费品,服装零售,
个人,运营➕训练,消费品,美业,
关谷,区总,其他,NULL,
广东艾瑞斯电器有限公司,老板,其他,NULL,
广东参之源健康科技有限公司,CEO,消费品,滋补,
广东参之源健康科技有限公司,品牌经理,消费品,滋补,
广东电声市场营销股份有限公司,总经理,其他,NULL,
广东麦多多实业有限公司,副总经理,消费品,数码配件,
广东省拼奇文化科技有限公司,NULL,消费品,玩具,
广东省拼奇文化科技有限公司,产品创意总监,消费品,玩具,
广东伊丽汇美容科技有限公司,NULL,其他,NULL,
广州爱加电子商务有限公司,联合创始人,跨境电商,跨境电商,
广州诚赢电子商务有限公司,总经理,其他,NULL,
广州等我送上门餐饮有限公司,运营总监,由于<|行业|>的值为NULL，无法判断所属行业，故答案为其他,NULL,
广州乐怡文化投资有限公司,副总裁,其他,NULL,
广州六一信息科技有限公司,创始人,其他,NULL,
广州摩客贸易有限公司,店长,消费品,服装,
广州摩客贸易有限公司,全国营销培训总监,消费品,服装,
广州摩客贸易有限公司,商品总监,消费品,服装,
广州奇积科技有限公司,国内负责人,其他,NULL,
广州榕意餐饮管理有限公司,人力总监,餐饮,餐饮,
广州萨维兰网络科技有限公司,副总经理,跨境电商,跨境电商,
广州市原上服饰实业有限公司,NULL,其他,NULL,
广州思迈新服饰有限公司,PMO,跨境电商,跨境电商,
广州天谷睡眠科技有限公司,设计师,其他,NULL,
广州拓瑞信息技术有限公司,总经理,跨境电商,跨境电商,
广州兴趣岛信息科技有限公司,内容经理,其他,教育,
广州兴趣岛信息科技有限公司,全国销售副总裁兼事业部总经理,科技,教育培训/互联网,
广州兴趣岛信息科技有限公司,项目负责人,其他,教育,
广州兴趣岛信息科技有限公司,项目负责人,科技,教育培训/互联网,
广州兴趣岛信息科技有限公司,用户满意品控和升级中心负责人,其他,教育,
广州雅梵哲生物技术有限公司,总监,其他,NULL,
广州一龙卓越餐饮管理有限公司,创始人,其他,NULL,
国洋（上海）电子有限公司,总经理,其他,NULL,
邯郸设计家网络科技有限公司,CEO,其他,NULL,
杭州贝乐文化传播有限公司,总经理,其他,NULL,
杭州布道教育科技有限公司,产品设计,其他,服务,
杭州布道教育科技有限公司,私域负责人,其他,服务,
杭州布道教育科技有限公司,销售,其他,服务,
杭州红盟引擎科技有限公司,Ceo,其他,NULL,
杭州拾影家居有限公司,品类运营,其他,传统制造,
杭州维学新知网络科技有限公司,CEO,其他,NULL,
杭州易达工具有限公司,总经理,跨境电商,跨境电商,
湖南可言可甜品牌管理有限公司,合伙人,其他,NULL,
湖南省艾檬电子有限公司,店长,其他,NULL,
湖南省艾檬电子有限公司,经理,其他,NULL,
湖州函炜服饰有限公司,NULL,其他,NULL,
湖州函炜服饰有限公司,商品负责人,其他,NULL,
济南海顾踏踏虎健康科技有限公司,创始人,其他,NULL,
金华觅山工贸有限公司,联合创始人,其他,NULL,
绝味鸭脖,顾客增长总监,其他,NULL,
珂睿斯科技（深圳）有限公司,品牌总监,跨境电商,跨境电商,
莱美健身服务（上海）有限公司,市场总监,其他,NULL,
溧阳市天目湖南山竹海旅游有限公司,总裁助理,其他,NULL,
柳州市远黛贸易有限公司,产品总监,其他,NULL,
柳州市远黛贸易有限公司,客服,其他,NULL,
卢冠锋,老板,餐饮,餐饮行业,
马克实业（深圳）有限公司,创始人/品牌总监,其他,国内电商,
米芝莲餐饮管理,经理,其他,NULL,
明康汇生态农业集团有限公司,NULL,消费品,零售,
慕迪贸易（深圳）有限公司,CEO,消费品,Retail,
南京医格尔信息科技有限公司,运营,其他,NULL,
柒唐风,经理,其他,NULL,
启晟（天津）宠物医院管理有限公司,Coo,其他,NULL,
潜江市蓝天教育集团,品宣,由于<|行业|>的值为NULL，无法判断所属行业，因此答案为其他,NULL,
青岛伊可普电器有限公司,总经理,其他,国内电商,
轻松简单科技（深圳）有限公司,CPO,跨境电商,电商,
泉州市银泰包袋工贸有限公司,设计总监,由于引用数据中行业字段为 NULL，无法判断所属行业，故答案为：其他,NULL,
山东肤康生物技术有限公司,NULL,由于未提供<|行业|>的具体内容，无法完成判断和填充。请补充<|行业|>的具体数据。 ,System.String[],
陕西新熹餐饮管理有限公司,品牌负责人,其他,NULL,
陕西助力文化,总经理,其他,NULL,
上海艾雷电子商务有限公司,NULL,消费品,电商消费,
上海艾雷电子商务有限公司,副总经理,消费品,电商消费,
上海艾雷电子商务有限公司,合伙人,消费品,电商消费,
上海爱用科技股份有限公司,设计师,其他,NULL,
上海贝耳塔信息技术有限公司,产品经理,其他,NULL,
上海聪颖文化用品有限公司,总经理助理,其他,NULL,
上海德晖景和投资管理有限公司,平面设计,其他,NULL,
上海德晖景和投资管理有限公司,私域运营,其他,NULL,
上海东制文化,NULL,其他,NULL,
上海谷尼管理咨询有限公司,总经理,科技,信息，咨询,
上海冠升教育科技有限公司,NULL,其他,NULL,
上海浩睿健身服务有限公司,老板,其他,NULL,
上海禾莉雅文化传媒有限公司,创始人,其他,NULL,
上海京贝餐饮管理有限公司,副总,其他,NULL,
上海桔子摄影有限公司,总经理,其他,摄影,
上海卡乐优儿童用品有限公司,销售总监,"跨境电商

注：一般来说，电商是指通过电子手段进行商业交易的活动，跨境电商是电商的一个重要细分领域。由于没有更明确的指向，从宽泛角度通常可将其归为跨境电商这一类别。如果后续有更详细的业务信息，分类可能会更精准。 ",电商,
上海卡乐优儿童用品有限公司,销售总监,消费品,儿童玩具/文具,
上海空空无言文化传播有限公司,课程运营主管,科技,高新科技,
上海空空无言文化传播有限公司,课程运营主管,其他,教育,
上海聆问者互联网信息科技有限公司,经理,其他,NULL,
上海满小饱食品科技有限公司,vp,其他,NULL,
上海满小饱食品科技有限公司,抖音运营总监,其他,NULL,
上海苹米商务咨询有限公司,合伙人,其他,服务,
上海睿一体育发展有限公司,合伙人,其他,运动康复,
上海谭浩餐饮管理有限公司,营建总监,餐饮,餐饮,
上海谭浩餐饮管理有限公司,主管,餐饮,餐饮,
上海喜敖马恩科技有限公司,内容,其他,NULL,
上海绪启开物餐饮管理有限公司,品牌总监,餐饮,餐饮,
上海妍州实业有限公司,总经理,其他,NULL,
上海英利生贸易有限公司,NULL,消费品,服饰服装,
上海张啦啦餐饮管理有限公司,总经理,其他,NULL,
艾尚生活文化有限公司,10,其他,NULL,
北京很久以前餐饮管理有限公司,品牌经理,餐饮,餐饮行业,
北京南城香餐饮有限公司,评价中心负责人,其他,NULL,
北京三万共赢科技合伙企业(有限合伙),创始合伙人,其他,NULL,
北京惟真管理咨询有限公司,创始人,其他,NULL,
北京下厨房科技有限公司,供应链负责人,其他,国内电商,
北京下厨房科技有限公司,品牌营销经理,消费品,快消品,
北京新橙科技有限公司,CEO,其他,NULL,
北京阳坊胜利饮食文化发展有限公司,运营副总,餐饮,餐饮,
滨州派斯乐笔业有限公司,董事长,由于引用数据中行业为 NULL，无法判断所属行业，故应填其他。,NULL,
长沙誉文科技有限公司,NULL,跨境电商,跨境电商,
长沙誉文科技有限公司,FOUNDER,其他,医疗,
长沙誉文科技有限公司,PM,其他,医疗,
长沙誉文科技有限公司,经理,跨境电商,跨境电商,
成都一起精彩体育发展有限公司,教学运营,其他,教育,
宠爱生活（厦门）科技有限公司,总经理,消费品,宠物食品,
宠爱生活（厦门）科技有限公司,总经理,消费品,宠物行业,
东莞市华世食品有限公司,项目经理,餐饮,餐饮业,
方家铺子,门店运营总监,其他,NULL,
个人,总经理,消费品,美业,
广东参之源健康科技有限公司,NULL,消费品,零售,
广东参之源健康科技有限公司,Ka负责人,消费品,滋补,
广东参之源健康科技有限公司,品牌经理,消费品,零售,
广东麦多多实业有限公司,副总经理,跨境电商,电商,
广东麦多多实业有限公司,副总经理,消费品,消费电子,
广东省木盛生物有限公司,负责人,其他,NULL,
广东省拼奇文化科技有限公司,HRD,消费品,潮流玩具,
广东省拼奇文化科技有限公司,联合创始人,消费品,快销,
广东伊丽汇美容科技有限公司,null,其他,NULL,
广云堂药业（广东）有限公司,总监,其他,医药,
广云堂药业（广东）有限公司,总监,消费品,医药电商,
广州金十信息科技有限公司,NULL,其他,NULL,
广州青花瓷健康科技有限公司,NULL,其他,NULL,
广州青花瓷健康科技有限公司,董事长,其他,NULL,
广州青花瓷健康科技有限公司,培训老师,其他,NULL,
广州市茉善国际贸易有限公司,CEO,其他,NULL,
广州市原上服饰实业有限公司,事业部负责人,其他,NULL,
广州市增城区卓越教育培训中心,用户推广师,其他,NULL,
广州思迈新服饰有限公司,CEO,跨境电商,跨境电商,
广州天成餐饮有限公司,运营经理,餐饮,餐饮,
广州兴趣岛信息科技有限公司,NULL,其他,教育,
广州兴趣岛信息科技有限公司,Ip商务总监,其他,教育,
广州兴趣岛信息科技有限公司,高级经理,其他,教育,
广州兴趣岛信息科技有限公司,人事副总裁,科技,教育培训/互联网,
贵州天地人和酒业有限公司,NULL,消费品,白酒,
贵州喜百年装饰,NULL,其他,NULL,
海南景咖科技有限公司,CEO,其他,住宿,
杭州艾啦时尚品牌管理有限公司,商品,其他,国内电商,
杭州布道教育科技有限公司,ceo,其他,服务,
杭州布道教育科技有限公司,产品中心总监,其他,服务,
杭州布道教育科技有限公司,抖音运营,其他,服务,
杭州布道教育科技有限公司,客户体验部经理,其他,服务,
杭州布道教育科技有限公司,视觉经理,其他,服务,
杭州布道教育科技有限公司,运营总监,其他,服务,
杭州布道教育科技有限公司,总经理,其他,服务,
杭州宏观星路生物科技有限公司,联合创始人,其他,NULL,
杭州银河山田食品科技有限公司,NULL,其他,NULL,
灏基（杭州）企业管理咨询有限公司,分公司总经理,其他,医疗,
和也健康科技有限公司,品牌部经理,其他,NULL,
河北刘伶醉酿酒销售有限公司,总经理,其他,NULL,
呼和浩特市新途径培训服务有限公司,品牌运营中心,其他,NULL,
湖南省艾檬电子有限公司,NULL,由于输入中行业字段的值为 NULL，无法判断所属行业，因此答案为：其他,NULL,
花卤卤餐饮有限公司,营销总监,其他,NULL,
慧庠（广东）母婴健康科技有限公司,总经理,消费品,母婴,
江苏万家如意食品有限公司,经理,其他,NULL,
江西心隐企业管理咨询有限公司,品牌总监,其他,美容SPA/健康管理,
劲霸男装（上海）有限公司,副总裁,消费品,服饰服装,
劲霸男装（上海）有限公司,新媒体,消费品,服饰服装,
九江尚和文餐饮管理有限公司,NULL,其他,NULL,
零一裂变（深圳）科技有限公司,NULL,无法判断，答案为其他,NULL,
名创优品（广州）有限责任公司,CHRO,其他,NULL,
明康汇生态农业集团有限公司,经营管理中心负责人,消费品,零售,
明月镜片股份有限公司,创新业务,由于未提供<|行业|>具体内容，无法准确判断属于哪个行业，请提供<|行业|>的详细信息。 ,System.String[],
明月镜片股份有限公司,股东,因为没有具体的<|行业|>内容，无法判断属于哪个行业，答案为其他,System.String[],
莫敏,品牌经理,其他,NULL,
南京医格尔信息科技有限公司,推广主管,其他,NULL,
南宁高新区飞小邕餐饮店,NULL,由于没有提供<|行业|>的具体内容，无法完成判断，请提供<|行业|>的具体信息。,System.String[],
年年有余（浙江）文化科技有限公司,NULL,其他,NULL,
年年有余（浙江）文化科技有限公司,设计,其他,NULL,
年年有余（浙江）文化科技有限公司,投放负责人,其他,NULL,
宁波乐本文化创意有限公司,总经理,其他,NULL,
宁波拓璞企业管理咨询有限公司,NULL,其他,NULL,
启晟（天津）宠物医院管理有限公司,CFO,其他,NULL,
轻功体育用品（武汉）有限公司,CEO,其他,体育,
人生管理學院,教學統籌,其他,NULL,
山东锵锵文化传媒有限公司,品牌创始人,其他,NULL,
上海聪颖文化用品有限公司,NULL,其他,NULL,
上海聪颖文化用品有限公司,产品经理,其他,NULL,
上海冠升教育科技有限公司,,其他,NULL,
上海冠升教育科技有限公司,财务总监,其他,NULL,
上海九翊餐饮管理有限公司,创始人,餐饮,餐饮,
上海满小饱食品科技有限公司,行销推广,其他,NULL,
上海奈尔宝企业管理有限公司,副总裁,其他,NULL,
上海七十迈数字科技有限公司,NULL,科技,物联网科技,
上海七十迈数字科技有限公司,宠物线品牌负责人,科技,物联网科技,
上海七小七贸易有限公司,创始人,由于提供的<|行业|>为 NULL，无法判断所属行业，故填充为其他,NULL,
上海世达食品有限公司,销管,其他,NULL,
上海世谊商贸有限公司,创始人,消费品,环保/家居健康,
上海水星家用纺织品股份有限公司,副总,其他,制造业,
上海西夜餐饮有限公司,副总经理,其他,NULL,
上海喜敖马恩科技有限公司,品牌,其他,NULL,
上海相宜本草化妆品股份有限公司,cmo,消费品,快消品,
上海绪启开物餐饮管理有限公司,合伙人,餐饮,餐饮,
上海颐拍网络科技有限公司,创始人,其他,NULL,
上海泽田餐饮管理有限公司,营运总监,其他,NULL,
上海猪嗲嗲餐饮管理有限公司,创始人,其他,NULL,
上海倬祝营销咨询有限公司,市场总监,消费品,耐消品,
上海自也网络科技有限公司,NULL,科技,软件与信息服务,
深圳百果园实业（集团）股份有限公司,营销总监,消费品,连锁门店,
深圳酷骑童趣科技有限公司,品牌经理,其他,NULL,
深圳侨城菲诺口腔门诊部,牙医,其他,NULL,
深圳市爱微饰品有限公司,董事总经理,消费品,配饰,
深圳市布宜诺实业有限公司,产品经理,其他,NULL,
深圳市对庄科技有限公司,HRD,跨境电商 ,电子商务,
舒适度（上海）技术有限公司,常务副总经理,其他,NULL,
苏州大禹数字文化科技集团有限公司,营销,其他,NULL,
苏州秦潮味餐饮管理有限公司,品牌运营总监,其他,NULL,
童画森林国际教育科技（北京）有限公司,品牌经理,其他,NULL,
蛙来哒（广东）咨询管理有限公司,财务总监,餐饮,餐饮行业,
蛙来哒（广东）咨询管理有限公司,产品研发,餐饮,餐饮行业,
渭南市水中天茶文化有限公司,NULL,餐饮,现代茶馆,
渭南市水中天茶文化有限公司,总经理,餐饮,现代茶馆,
西末广告（上海）有限公司,NULL,由于引用数据中行业字段为 NULL，无法判断所属行业，答案为其他,NULL,
厦门山国饮艺茶业有限公司,文化馆总经理,其他,制造业,
厦门瞬恒群星文化集团有限公司,董事长,其他,NULL,
湘阴县佰嘉丽景酒店管理有限公司,店总,其他,服务,
浙江海明实业有限公司,NULL,消费品,服装、农场,
浙江和也健康科技有限公司,经理助理,其他,NULL,
浙江驿淘科技,NULL,由于<|行业|>为NULL，无法判断其所属行业，答案为其他,NULL,
重庆田棒棒餐饮有限公司,运营负责人,其他,NULL,
重庆新唯易电子科技有限公司,店长,由于引用数据中行业字段为 NULL，无法判断所属行业，故填写其他。,NULL,
卓越教育,用户推广副总监,其他,教育,
阿里,HR,其他,NULL,
白宇桐,NULL,由于提供的行业数据为NULL，无法判断具体所属行业，因此答案为其他。,NULL,
北京聪明核桃教育科技有限公司,NULL,其他,NULL,
北京南城香餐饮有限公司,NULL,其他,NULL,
北京全福凯旋家具有限公司,门店经理,消费品,家具,
北京全福凯旋家具有限公司,门店经理,消费品,家具行业,
北京全福凯旋家具有限公司,人力资源经理,消费品,家具,
北京市盈科（广州）律师事务所,合伙人,其他,NULL,
北京新橙科技有限公司," ",其他,NULL,
北京新世纪青年饮食有限公司,营运训练,餐饮,餐饮,
北京雪鸮科技有限公司,市场营销,其他,NULL,
必扑生物科技（青岛）有限公司,主管,其他,NULL,
长沙市到家悠享网络科技有限公司,产品运营负责人,科技,家政互联网,
长沙市米漾米居酒店管理有限公司,运营总监,其他,NULL,
长沙市尚禾霖科技有限公司,主理,其他,NULL,
长沙誉文科技有限公司,FOUNDER,消费品,健康产品,
成都兴旺动物药业有限公司,副总,其他,畜牧,
创业筹备中,创始人,其他,NULL,
东莞市佐赫电子有限公司,NULL,其他,NULL,
佛山启朗健身,主理人,其他,NULL,
福州有家装饰工程有限公司,NULL,其他,NULL,
个人,经理,消费品,美业,
个人,总经理,其他,地产,
个人,总经理,消费品,服装零售,
广昌县清辰贸易有限公司,联合创始人,其他,NULL,
广东参之源健康科技有限公司,CEO,消费品,零售,
广东参之源健康科技有限公司,产品经理,消费品,零售,
广东参之源健康科技有限公司,商品价值开发负责人,消费品,滋补,
广东省拼奇文化科技有限公司,NULL,消费品,潮流玩具,
广东省拼奇文化科技有限公司,BM,消费品,快销,
广东狮想家科技有限公司,总经理,科技,电商互联网,
广州博志商贸有限公司,NULL,其他,NULL,
广州等我送上门餐饮有限公司,NULL,其他,NULL,
广州乐怡文化投资有限公司,未来书房项目负责人,其他,NULL,
广州秘令科技有限公司,董事长,消费品,美容行业,
广州奶糖派服装有限公司,NULL,其他,NULL,
广州奇积科技有限公司,CBG负责人,其他,NULL,
广州奇积科技有限公司,套装北美组负责人,其他,NULL,
广州青花瓷健康科技有限公司,负责人,其他,NULL,
广州萨维兰网络科技有限公司,总经理,跨境电商,跨境电商,
广州市原上服饰实业有限公司,品牌运营经理,其他,NULL,
广州市卓越里程教育科技有限公司,NULL,其他,教育培训,
广州市卓越里程教育科技有限公司,分区校长,其他,教育培训,
广州思迈新服饰有限公司,品类经理,跨境电商,跨境电商,
广州天成餐饮管理有限公司,市场经理,其他,NULL,
广州天成餐饮有限公司,总经理,餐饮,餐饮,
广州拓瑞信息技术有限公司,NULL,跨境电商,跨境电商,
广州兴趣岛信息科技有限公司,Ip商务总监,科技,教育培训/互联网,
广州兴趣岛信息科技有限公司,内容负责人,其他,教育,
广州一酷电子商务有限公司,老板,其他,NULL,
贵州喜百年装饰,品牌策划,其他,NULL,
杭州艾啦时尚品牌管理有限公司,高级视觉经理,消费品,国内电商,
杭州布道教育科技有限公司,NULL,其他,服务,
杭州布道教育科技有限公司,产品经理,其他,服务,
杭州布道教育科技有限公司,监事长,其他,服务,
杭州德艾贸易有限公司,Ceo,跨境电商,电商,
杭州佳舟创新科技有限公司,CMO,跨境电商,跨境电商,
杭州靖安科技有限公司,体验设计专家,科技,defense tech,
杭州靖安科技有限公司,体验设计专家,其他,军工,
杭州靖安科技有限公司,体验设计专家,科技,软件科技,
杭州灸印堂健康发展有限公司,CEO,其他,NULL,
杭州灸印堂健康发展有限公司,行政,其他,NULL,
杭州连童文化创意有限公司,项目经理,其他,NULL,
杭州拾影家居有限公司,创始人,其他,传统制造,
杭州万事利丝绸文化股份有限公司,新电商事业部总经理,消费品,零售业,
杭州小黑盒信息技术有限公司,NULL,其他,NULL,
杭州小黑盒信息技术有限公司,三利项目负责人兼运营总监,其他,NULL,
杭州心芽信息科技有限公司,运营VP,其他,NULL,
杭州星洢科技有限公司,NULL,科技,新媒体电商,
杭州易达工具有限公司,产品经理,跨境电商,跨境电商,
合肥初喜母婴护理有限公司,总经理,其他,NULL,
合肥蓝梦猫品牌管理有限公司,总经理,其他,NULL,
合肥亿行医药有限公司,渠道负责人,由于引用数据中<|行业|>为 NULL，无法获取有效行业信息，所以答案为其他,NULL,
河南九牛电子商务有限公司,运营,其他,NULL,
河南鲜风商业连锁有限公司,店长,其他,NULL,
呼和浩特市新途径培训服务有限公司,电商部二级主管,由于提供的<|行业|>数据为 NULL，无法准确判断所属行业，故答案为其他,NULL,
湖南米漾酒店管理有限公司,副总经理,其他,NULL,
吉林省瑞曼沃德服饰有限公司,创始人,其他,NULL,
济南潮十三餐饮管理有限公司,朱屾,餐饮,餐饮中餐,
见鲸科技（南京）有限公司,NULL,其他,NULL,
见鲸科技（南京）有限公司,产品经理,由于<|行业|>的值为 NULL，无法判断所属行业，答案为无法确定。 ,NULL,
见鲸科技（南京）有限公司,合伙人,其他,NULL,
江苏吉家宠物用品有限公司,品牌总监,其他,NULL,
江苏科美新材料有限公司,董事长,其他,化工,
江苏马可教育,投资人,其他,NULL,
江西心隐企业管理咨询有限公司,品牌线负责人,其他,服务行业,
金华市常资健健康科技有限公司,ceo,其他,NULL,
晶生好运珠宝,总经理,其他,NULL,
卡亚蒂芙（北京）文化有限公司,品牌创始人和主理人,其他,NULL,
科联社（上海）咨询管理有限公司,自由职业,其他,NULL,
柳州市远黛贸易有限公司,NULL,其他,NULL,
柳州市远黛贸易有限公司,电商运营,其他,NULL,
南京广迪信息科技有限公司,负责人,其他,NULL,
南京图益创意科技有限公司,线下直营业务负责人,消费品,益智玩具,
南京小灿灿网络科技有限公司,密芽控股创始人,其他,NULL,
年年有余（浙江）文化科技有限公司,设计总监,其他,NULL,
年年有余（浙江）文化科技有限公司,新媒体运营,其他,NULL,
宁波拓璞企业管理咨询有限公司,总经理助理,其他,NULL,
平安银行,用户研究员,其他,NULL,
平安银行股份有限公司,NULL,其他,NULL,
启晟（天津）宠物医院管理有限公司,CEO,其他,NULL,
