高维学堂2025年课程表（动态更新）,,,,,,,,,,,
"备注：
①因不可抗力因素，部分课程的开课时间会根据情况调整，调整时间以通知为准
②极少部分课程价格会因成本变化调整，如出现上调情况，班主任会及时告知
③【所有课程都有提供内训、咨询、详询班主任】
④ “学习卡兑换次数” 介绍详见此二维码：",,,,,,,,,,,
分类,商学课/课后辅导/入企服务,老师,老师简介,适学对象,课程价值,上课日期,上课城市,课程学费（人/元）,学习卡兑换次数,,
战略＆业务,"《升级定位与品牌战略》
 
 全套品牌打法，瞄准品类第一","冯卫东、
快刀何","冯卫东 老师
 天图投资创始合伙人
 华章全球大师经典《升级定位》作者
 用真金白银检验和发展定位方法论
 他让定位从“一学就懂、一用就错”变得有章可循可落地。
 代表投资项目：周黑鸭、百果园、小红书、蘑菇街、饭扫光、奈雪、飞贷、三顿半等消费类品牌
 
 快刀何 老师
 升级定位咨询创始合伙人，高维学堂常驻导师
 ５年咨询辅导30+品类第一品牌：科大讯飞智能办公本、八马茶业、DR钻戒、蔬果园洗衣凝珠、兴趣岛兴趣学堂、核桃少儿编程、希望树除醛宝、官栈花胶、鹿客指脉锁、赛波斯地毯、江中药业、好医生药业等","适合企业：
 （1）赛道竞争激烈，需要品牌化，实现竞争破局的；
 （2）进入快速增长通道或开启第二曲线，需要打好品牌战略地基，避免二次返工的；
 （3）投放金额数千万、数亿元的电商品牌，不想纯靠砸钱做流量，想要品牌获客的；
 （4）准备大规模投放电梯广告、户外广告，需要品牌定位校准的；
 
 不适合的企业及人群：
 （1）初次创业，尚处于从0到1的验证阶段的；
 （2）只想抓流量红利、打造网红品牌，赚风口块钱的；
 （3）小富即安，不想做出强大品牌的；
 （4）混圈子，不是真正想要学习的。","1、双师联手：最懂定位的投资人冯卫东老师，联手升级定位实操专家快刀何老师，在《升级定位》精华内容的基础上，增加最新咨询案例及实战方法拆解，从系统方法论到落地打法。
 2、案例教学：每天两轮提问答疑，学员提出真实困惑及卡点，讲师现场解答，一两句话可能远超学费。同学带实体产品到课堂，有机会获得老师的现场点评和指导。
 3、学长支招：本次课程特设品牌之夜活动，邀请最有成果的3-5位学长代表走到讲台，解析品牌的定位要义、实操要害，用最新一线实践启发你破解品牌战略落地难题，解析如何端到端落地拿成果。",3月15-16日,深圳,"￥19,800",2次/人,,"?新课预告：

《做对股权激励》√
《跨境供应链提效降本方案班》√
《创始人的法律必修课》√
《AI时代的企业进化》√
《全域流量布局与经营》
《关键人才争夺战》
《导向经营的绩效体系设计》
《创始人的营销全景课》
《跨境电商DTC经营分析方案班》"
,,,,,,5月24-25日,深圳,,,,
,,,,,,6月28-29日,上海,,,,
,,,,,,9月13-14日,深圳,,,,
,,,,,,12月6-7日,深圳,,,,
战略＆业务,"《战略设计总纲课》NEW
 
 找到战略内核,跟上产业变迁",刘绍荣,"BCG前高级战略顾问及高级合伙人
 资深战略与组织变革专家","创始人、高管团队、业务一号位
 
 建议创始人带团队学习，快速共识和同频","了解7大战略制定误区，从“老板指挥”思维转变为“战略驱动”思维；
 掌握具有前瞻性的战略洞察和解码方法，找准战略支点与突围之路；
 掌握敏捷的战略体系制定方法，化抽象为具象，将不确定转变成确定性；
 通过绘制战略地图，将抽象的战略转化为可执行的量化目标。",1月4-5日,深圳,"￥6,920",1次/人,,
,,,,,,3月15-16日,深圳,,,,
,,,,,,4月12-13日,上海,,,,
,,,,,,5月10-11日,广州,,,,
,,,,,,6月7-8日,上海,,,,
,,,,,,7月19-20日,深圳,,,,
战略＆业务,"《业务领先战略》
  
  找到战略机会点，构建战略控制点",汪瀛,"国内某标杆企业历任战略与市场部总监
 20+年战略与产品管理实战经验
  滴滴、立邦、洽洽等多家企业战略顾问",创始人、CEO、CTO、CFO等一把手和高管（团队共学，认知同频，效果更佳）,"完整讲解标杆企业BLM模型
 模型方法：战略洞察、五看三定、业务设计、战略解码
 工具：波士顿矩阵、安索夫矩阵、SPAN图",3月22-23日,深圳,"￥6,920",1次/人,,
,,,,,,4月26-27日,上海,,,,
,,,,,,5月17-18日,北京,,,,
,,,,,,6月21-22日,深圳,,,,
,,,,,,9月27-28日,上海,,,,
,,,,,,10月25-26日,广州,,,,
战略＆业务,"《AI与用户研究实战》
 
 探寻产品与用户的最佳契合点",科叔,"20+年深耕用户研究/产品创新
  用最有趣的方式传播产品知识
  曾服务vivo、HP等多家世界级企业",,"科学的做好用研，会给企业带来什么价值？
 1、更好的产品设计：了解用户的需求和偏好，设计出更符合用户需求的产品，提高产品的用户体验和满意度。
 2、 提高市场竞争力：了解市场需求和竞争对手的产品特点，制定更有效的市场策略，提高企业的市场竞争力。
 3、降低产品开发成本：了解用户需求和偏好，从而避免不必要的产品开发和改进，降低产品开发成本。
 4、提高用户忠诚度：了解用户需求和偏好，从而提供更符合用户需求的产品和服务，提高用户的满意度和忠诚度。
 5、增加收入和利润：了解用户需求和偏好，从而开发出更受欢迎的产品和服务，增加收入和利润。",3月22-23日,深圳,"￥4,920",1次/人,,
,,,,,,5月10-11日,杭州,,,,
,,,,,,6月7-8日,广州,,,,
,,,,,,8月16-17日,深圳,,,,
,,,,,,9月27-28日,杭州,,,,
,,,,,,11月22-23日,深圳,,,,
,,,,,,12月20-21日,杭州,,,,
战略＆业务,"《产品开发管理IPD》
  
  从客户需求到产品成功",刘红革,"国内某标杆企业原IPD首任项目经理、研发副总裁
  15年标杆企业工作经验
  IPD资深专家","建议参加人员：
 1、创始人/CEO，IPD变革是创始人工程。
 2、研发总经理、负责人、总监
 3、产品经理、项目经理、开发代表、市场负责人、采购负责人。","1、学习标杆企业世界级的研发管理流程（IPD）；
  2、全面理解从市场需求、产品规划到产品研发到生命周期管理的产品管理全过程；
  3、了解如何运作跨部门团队和团队的关键成功要素；
  4、结合企业实际，提出研发流程改进思路和设想，找到研发管理问题的解决方案。",3月15-16日,上海,"￥4,920",1次/人,,
,,,,,,4月12-13日,深圳,,,,
,,,,,,6月21-22日,上海,,,,
,,,,,,8月23-24日,深圳,,,,
,,,,,,10月18-19日,上海,,,,
,,,,,,11月29-30日,深圳,,,,
战略＆业务,"《品牌投放策略》
  
  从1到10的消费品投放策略",陈陶琦,"MGCC众引传播合伙人
  10亿年营业额的营销机构合伙缔造者",消费品牌创始人、合伙人及营销/市场/传播负责人,"1、看清影响全链路的投放产出因素;
 2、理解制定核心增长策略的方法;
 3、获得数字环境下可复制的投放思维;
 4、认识在抖音和小红书打响社交传播的底层逻辑;
 5、掌握营销资源的布局和组合心法",3月29-30日,上海,"￥6,920",1次/人,,
,,,,,,5月10-11日,深圳,,,,
,,,,,,6月14-15日,杭州,,,,
,,,,,,8月23-24日,深圳,,,,
,,,,,,9月20-21日,杭州,,,,
,,,,,,11月22-23日,深圳,,,,
战略＆业务,"《小红书高效种草》
  
 种出品效合一","陈陶琦
 ","Ronnie陈陶琦
  MGCC众引传播合伙人
  众麟资本合伙人","以小红书为核心传播平台和销售的消费品牌，包括的行业有食品饮料、美妆个护、消费3C、母婴健康、家装家居、服饰运动、本地生活等
 
 建议已经入局的学友参加
 适合人员：品牌创始人/主理人，品牌和市场营销团队、社媒投放和内容团队","1、理解小红书平台营销逻辑，找到品类/品牌机会
2、洞察人、货、场，梳理小红书核心内容策略3、筛选合作达人，制定关键测试指标
4、梳理放量手段，实现流量全链路多级放大和后端收割
5、掌握预算分配原则及组织人员配套",2月26日,线上,18000元/企业,3次/企业,,
战略＆业务,"《品牌体验设计》

关键时刻MOT
增量存量，双增长模型",汪志谦,"
两岸殿堂级品牌增长名师
香港大学副教授
畅销书《峰值体验》《峰值体验2》作者

超过二十年之全球企业及B2B、B2C品牌管理经验，以原创「MOTX体验设计商业化方法学」，成功协助「索菲亚整家定制、喜马拉雅app、学而思网校、滴滴代驾、每日黑巧、Ubras、德施曼智能锁、奈尔宝家庭中心、核桃编程、燕之屋」等数百个行业领导品牌，实现品牌成长","CEO、企业创始人
 首席增长官、品牌营销官、品牌战略高管
 营运总监、业务最高主管、体验设计高管
 产品经理，定位产品方向与核心竞争规格的团队
 
 
 注明：应老师要求，定位、品牌、用户体验类咨询/培训同行、广告公司、设计公司 请绕行，谢谢理解。
 
 适用场景：实体门店、网上店铺、各类品牌营销活动增长优化和突破。
 【注：为保证学习效果，更好在企业落地，创始人等一把手需要带头先行参与】",1、这是一门基于品牌定位下沉一层落地实操课；2、融合了五大核心前沿思想学科做理论根基；3、简单、系统、实用、易落地；4、港大商学院、高维学友接近满分推荐,3月8-9日,上海,"￥7,330",1次/人,,
,,,,,,4月12-13日,深圳,,,,
,,,,,,5月17-18日,上海,,,,
,,,,,,6月28-29日,广州,,,,
,,,,,,9月6-7日,上海,,,,
,,,,,,10月25-26日,深圳,,,,
,,,,,,12月13-14日,上海,,,,
战略＆业务,"《卓越经营者》
 
 找准经营发力点，实现破局式增长",祝鹏程,"百亿生意规模操盘手
完整经历过创业企业从0-1、1-100及IPO等不同阶段","已经跨过从0到1（经过市场验证期），正在由1到10的快速发展企业的创始人及高管团队
  行业不限，企业发展阶段，企业发展规模不限","1、从创业者与投资人双重身份，总结创始人10大常见经营陷阱及应对措施，助力企业不同阶段少走弯路。
 2、企业如何找到自身竞争优势？从信息差到逻辑差再到资源差，助力企业有序构建长期的经营壁垒。
 3、企业经营如何聚焦及有序开展？提供1张企业经营过程的地图和1套能丈量的经营系统工具，让企业能有效诊断并做出反应，识别机会点和找到增长控制点，有抓手地量级跨越。
 4、年度目标如何找到关键抓手，有效实现？提供2个六边形诊断，从多个维度思考企业的长板和短板，拆解年度策略，找到关键抓手，保障年度目标有效实现。
 5、企业整个业务系统如何拆指标，跟踪和管理？提供一套高增长的经营体系，帮助企业构建业务系统。",3月1-2日,深圳,"￥6,920",1次/人,,
,,,,,,3月29-30日,厦门,,,,
,,,,,,5月9-10日,北京,,,,
,,,,,,5月24-25日,广州,,,,
,,,,,,6月21-22日,上海,,,,
,,,,,,7月26-27日,深圳,,,,
,,,,,,10月25-26日,上海,,,,
,,,,,,11月15-16日,厦门,,,,
,,,,,,11月29-30日,深圳,,,,
战略＆业务,"《月度经营分析会》
 
 直击问题、找准抓手，集中力量打胜战！",祝鹏程,"百亿生意规模操盘手
完整经历过创业企业从0-1、1-100及IPO等不同阶段",创始人、高管团队（董事长、CEO、CFO、业务单元负责人、战略部门负责人）,"理解经营分析会的定位和作用
 让财务分析导向损益改善，让业务分析导向经营成果，让组织分析导向支撑业务
 学会开高质量的经营分析会议，拿走一整套经营分析会的方法论和工具",2月21日,上海,"￥3,920",0.5次/人,,
,,,,,,2月28日,广州,,,,
,,,,,,3月7日,北京,,,,
,,,,,,3月21日,深圳,,,,
,,,,,,3月28日,厦门,,,,
,,,,,,4月18日,杭州,,,,
,,,,,,5月16日,广州,,,,
,,,,,,5月23日,上海,,,,
,,,,,,6月13日,深圳,,,,
,,,,,,7月18日,上海,,,,
,,,,,,8月22日,深圳,,,,
,,,,,,9月19日,上海,,,,
,,,,,,10月17日,深圳,,,,
,,,,,,11月14日,厦门,,,,
,,,,,,11月21日,深圳,,,,
,,,,,,12月5日,上海,,,,
,,,,,,12月19日,北京,,,,
战略＆业务,"《OGSM业务规划与执行》
  
  一页纸打通战略到个人绩效",袁园,"宝洁、达能前资深销售总监&电商业务创立者
  中国电动牙刷第一品牌usmile原合伙人、销售VP
  20年+销售管理、操盘20亿生意的全渠道经验
 《OGSM让战略极简落地》作者",2C企业一把手、业务部门负责人（运营、销售、客服等）,"1、将战略拆解成业务目标、策略，变成可执行、好落地的生意计划
  2、拉齐水平统一认知，设计激发内驱力绩效，让业务人员指哪打哪
  3、搭建上下对齐、内外兼修的完整业务体系，持续提升销售业绩",1月4-5日,上海,"￥5,330",1次/人,,
,,,,,,2月22-23日,上海,,,,
,,,,,,3月1-2日,厦门,,,,
,,,,,,3月8-9日,深圳,,,,
,,,,,,4月12-13日,杭州,,,,
,,,,,,5月17-18日,广州,,,,
,,,,,,6月14-15日,上海,,,,
,,,,,,7月12-13日,深圳,,,,
,,,,,,8月16-17日,北京,,,,
,,,,,,9月13-14日,广州,,,,
,,,,,,2025年10月18-19日,上海,,,,
,,,,,,9月27-28日,郑州,,,,
,,,,,,11月22-23日,深圳,,,,
,,,,,,12月13-14日,杭州,,,,
战略＆业务,"《OGSM战略拆解》
 
 将战略翻译为具体可操作的计划",袁园,"《OGSM让战略极简落地》作者
 OGSM战略落地体系创立者
 宝洁中国首位原多渠道销售总监，任职宝洁14年
 创建宝洁、达能电商业务体系
 作为合伙人、销售VP，助力usmile成为中国电动牙刷第一品牌",部门负责人、高管团队、创始人,为您和团队提供专业的指导和实战演练，将战略翻译为具体可操作的计划，帮助您的团队克服战略落地的各种挑战。,3月19-20日,长沙,"36000元/企业（6人）
 
 个人/增员6920元/人",6次/企业,,
战略＆业务,"《供应链管理》
  
  从单点改善走向系统优化",高上,"西门子原供应链高管
  近20年跨国企业供应链管理实操经验",创始人、供应链、销售、运营、财务管理人员,"1、建立一套标准体系 (供应链战略规划-高效运作-人才匹配)
 2、输出两套计划 (供应链体系重构行动计划&供应链人才发展计划)
 3、构筑供应链三道防线：计划-库存-执行",3月1-2日,杭州,"￥4,920",1次/人,,
,,,,,,3月8-9月,深圳,,,,
,,,,,,4月12-13日,上海,,,,
,,,,,,5月10-11日,深圳,,,,
,,,,,,6月7-8日,上海,,,,
,,,,,,6月14-15日,广州,,,,
,,,,,,7月26-27日,杭州,,,,
,,,,,,9月6-7日,深圳,,,,
,,,,,,10月18-19日,深圳,,,,
,,,,,,11月22-23日,上海,,,,
,,,,,,12月13-14日,广州,,,,
战略＆业务,"《跨境电商供应链提效降本方案班》NEW

“采购-物流-平台退货” 全链路成本管控制",高上,"西门子原供应链高管
近20年跨国企业供应链管理实操经验","企业主体为跨境电商卖家（平台型/独立站/DTC品牌均可）
所处发展阶段：（以下均可）
从铺货转向精品模式，需重构供应链成本结构
计划开拓新市场，但担忧成本失控
营收超3000万，但利润被供应链成本吞噬

企业学习要求
团队完整性：参训学员须涵盖企业CEO(现场决策拍板）以及全链路降本责任部门（运营、产品开发、采购、仓储物流、财务等），人数在 6-12 人
数据准备度：能提供基础供应链数据（物流账单、库存报表、采购清单）
已完成高上老师《供应链管理》课程学习，对供应链战略规划和运作体系有基础了解","现场辅导共识，带走企业专属《供应链降本作战计划》
1.一企一策，靶向解决
2.一把手带队，责任部门共学，集体定策略
3. 实战导师引领，工具资源赋能
导师现场入组辅导，手把手带每个企业完成方案
即插即用工具包",可预约,深圳,待定,待定,,
战略＆业务,"《需求预测管理&库存管控》
 
 输出一套标准、两套计划、三步打造供应链防线",高上,"高维学堂常驻导师
 西门子原供应链高管
 中物联专家成员","供应链相关人员
 研发代表
 营销代表","1、搞定一套标准（公司产品战略梳理→品类规划→备货策略→补货策略→安全库存标准化）
 2、输出两套计划（补货计划&呆滞预防计划）
 3、三步打造电商供应链防线：计划-库存-执行
 4、如何提高数据敏感度，提升分析能力
 5、面对各类大促高峰期，如何应对（事前预防-事中控制-事后救火）",3月29-30日,深圳,"36000元/企业（6人）
 不接收单人报名",6次/企业,,
,,,,,,4月26-27日,杭州,,,,
,,,,,,5月24-25日,厦门,,,,
,,,,,,7月5-6日,深圳,,,,
,,,,,,8月16-17日,杭州,,,,
,,,,,,11月15-16日,深圳,,,,
,,,,,,12月6-7日,上海,,,,
战略＆业务,"《跨境爆品打造》
 
 七步点燃品牌新势能",张雷,"互联网行业资深专家
 跨境行业'联合建模""操盘人
 国家级020赛事营销体系操盘","适合企业：想打造品牌的跨境企业
 适合人员：创始人+产品+运营/销售+品牌营销/市场+设计部门负责人等核心成员
 
 各部门认知拉通，更有助于联合落地","爆品打造的流程：战略-产品-运营-资源高耦合的业务流 
 
 一整套的用研方法及综合分析体系
 
 以“用户需求”作为内核，驱动整合营销体系布局
 通过全维度用研，实现运营级-产品级-产品线级的三级爆品操盘跨越",4月19-20日,深圳,"￥6,920",1人/次,,
,,,,,,5月24-25日,杭州,,,,
,,,,,,6月28-29日,深圳,,,,
,,,,,,9月27-28日,广州,,,,
,,,,,,10月18-19日,杭州,,,,
,,,,,,11月8-9日,深圳,,,,
战略＆业务,"《超级转化率》
 
 转化率=你赚的钱效率！
 ",陈勇,"六要素营销咨询创始人
 中信畅销书《超级转化率》作者","创始人、核心管理层+大市场
 (市场、投放、运营、电商策划、文案、设计等)
 
 提升转化需要核心部门的紧密协同配合，打组合拳","扫描诊断当前流量布局：了解流量-转化的底层逻辑，通过系统方法定位影响转化率的关键卡
 点问题
 找到流量组合最优解：了解各个流量平台特点
 及内容营销方法，找到适合企业当前阶段的流
 量组合打法
 获得提升转化率的系统方法论：掌握让客户下
 单的三步法+转化六要素，有效提升转化率
 把握拆解客户旅程的要点：还原产品/服务从曝光到成交全流程，找到促进成交的关键环节
 提升公司利润
 设计高转化落地页：掌握高转化的效果文案模型+视",1月4-5日,深圳,"36000元/企业（6人）
 
 个人/增员6920元/人",6次/企业,,
,,,,,,3月15-16日,广州,,,,
,,,,,,4月19-20日,上海,,,,
,,,,,,6月28-29日,宁波,,,,
战略＆业务,"《结构性降本增利》NEW
 
用总成本领先构筑经营壁垒",张鹏,近4年深度辅导数十家企业实现结构性降本，提升利润数以亿计，打造6家赛道冠军，帮助多家企业实现总成本领先,"适合企业：面临成本压力,或希望提升盈利能力、实现可持续发展的企业
 
 适合岗位：创始人、财务/人事/供应链/产品/研发/品牌/市场/销售/运营等部门负责人","系统定制降本策略
 站在全局高度理解成本问题本质，将降本和经营相结合，初步制定可执行的降本方案，重塑企业的成本结构。
 
 发现真正的降本机会点
 走出单点、片面降本的误区，通过拆解价值链，找出值得关注的降本机会点。
 
 识别隐性成本
 通过拆解成本结构，识别异常成本和隐性成本，有效减少看不到的、不必要的成本浪费。
 
 沉淀管理资产，建立总成本领先优势
 将降本动作转变为长效管理，形成企业的长期壁垒，实现可持续有质量发展。",2月22-23日,深圳,"￥5,330",1次/人,,
,,,,,,3月15-16日,上海,,,,
,,,,,,4月19-20日,深圳,,,,
,,,,,,5月10-11日,上海,,,,
,,,,,,7月5-6日,杭州,,,,
战略＆业务,"《AI时代的企业进化》NEW

从认知突破到战略部署企业级AI",董俊豪,"AI赋能与应用陪跑专家
一念星球CEO(专注企业AI落地应用)
Meta(原Facebook)高级软件工程师
康奈尔大学计算机硕士(常青藤联盟校)/90后连续创业者某数智化服务龙头企业的 AI应用顾问
累计AI赋能服务130余家企业的实用主义技术派
开展AI相关培训讲座150余场，培训人数50000+","本课程聚焦于创始人与团队一号位，包括但不限于:企业决策层:创始人/CEO、CTO、CIO，负责企业战略规划和数字化转型的决策者。

业务部门负责人(如销售、市场、运营、产品等)

AI项目负责人:负责企业AI技术落地和应用的执行者","构建AI时代的企业生存方法论不是技术概念堆砌，
从认知→战略→业务流程变革→组织进化的实战闭环
交付实实在在的企业AI落地路径
",3月27日,杭州,"￥3,920",0.5次/人,,
,,,,,,4月25日,深圳,,,,
,,,,,,5月8日,上海,,,,
,,,,,,6月20日,广州,,,,
战略＆业务,"《高效客户拜访》
 
 用一半时间，赢两倍订单",崔建中,"“价值型销售”方法论创立者
 15年主导参与1000多个销售项目
 8年训练辅导10万多余名销售管理者",B2B企业需要与客户进行面对面沟通的销售模式。销售总监、销售经理、大客户经理售前技术支持等,"1、学习一套可靠的拜访方法论，用于计划、执行及评估销售人员销售拜访；
 2、把自己的优势变成客户的需求，提升竞争力；
 3、建立结构化的沟通方法，使拜访过程变得可控；
 4、获得客户承诺，大大缩短销售周期；
 5、学习一套共同的销售拜访语言",可预约排期,,"￥4,920",1次/人,,
战略＆业务,"《B2B销售业绩管理》
  
  让关键销售行为对准业绩增长",崔建中,"“价值型销售”方法论创立者
 15年主导参与1000多个销售项目
 8年训练辅导10万多余名销售管理者",SAAS、电信、银行、房地产、广告传媒、物流、TO B 销售领域,"1、结合公司战略，确定业绩指标
  2、结合业绩指标，确定适合公司具体情况的销售业绩增长策略
  3、设计属于自己公司的销售流程，帮助管理者找到影响业绩的销售活动，通过管理这些销售活动，对齐公司战略，保证业绩实现。",4月26-27日,上海,"￥4,920",1次/人,,
,,,,,,5月24-25日,北京,,,,
,,,,,,7月19-20日,北京,,,,
,,,,,,11月8-9日,上海,,,,
,,,,,,12月6-7日,深圳,,,,
战略＆业务,"《B2B策略销售》
  
  科学定策略，大幅提升赢单率",崔建中,"“价值型销售”方法论创立者
 15年主导参与1000多个销售项目
 8年训练辅导10万多余名销售管理者",B2B企业营销副总、销售总监、客户经理、项目经理等相关销售人员,"1、告别关系和经验主义，学会科学分析订单，提高赢单率
 2、准确把握客户的采购反映模式，并据此制定应对方法
 3、学会利用自己的优势，以优制劣，改变订单态势
 4、学会筛选客户，把有限的资源投入到关键客户处",3月22-23日,上海,"￥4,920",1次/人,,
,,,,,,5月17-18日,深圳,,,,
,,,,,,7月12-13日,上海,,,,
,,,,,,9月20-21日,深圳,,,,
组织＆人才,"《组织设计总纲课》
 
 冲锋导向的组织与人才建设",蒋伟良,"蒋伟良博士
  国内某标杆企业原流程与组织变革专家
  最受中小企业欢迎的流程型组织变革顾问
  服务公牛、方太、九牧王、蓝月亮、蔚来汽车等超300家企业成功变革
  代表性实操项目：腾讯、海大、喜之郎、蓝月亮、美联英语等","企业创始人、联合创始人及HR负责人
 每家企业限报3人。","1、以系统视角了解组织能力的要素组合，掌握组织与人才发展的核心逻辑；
 2、掌握组织结构与责权利设计的原则及结构性联系；
 3、打通从人才获取、人才发展到价值创造的全路径闭环，打造人才“倍”出的选育用留体系",3月1-2日,上海,"￥7,330",1次/人,,
,,,,,,3月29-30日,深圳,,,,
,,,,,,6月7-8日,上海,,,,
,,,,,,7月12-13日,深圳,,,,
,,,,,,10月25-26日,上海,,,,
,,,,,,12月27-28日,深圳,,,,
组织＆人才,"《流程型组织》
 
 激活组织，人效翻番",蒋伟良,"蒋伟良博士
  国内某标杆企业原流程与组织变革专家
  最受中小企业欢迎的流程型组织变革顾问
  服务公牛、方太、九牧王、蓝月亮、蔚来汽车等超300家企业成功变革
  代表性实操项目：腾讯、海大、喜之郎、蓝月亮、美联英语等",创始人、CEO、事业部负责人、人力资源团队,"1、 找到驱动业务增长和组织发展的有效抓手，以价值创造的业务流程来驱动企业从无序、无效走向有序、有效；
 2、构建整个企业的业务经营逻辑，理解市场管理，产品研发，销售运营、供应链等重要业务流的逻辑与关系；
 3、最适合中小企业学习和落地的流程再造方法论，瞄准客户来进行业务流程再造，沉淀团队打胜仗的最佳实践路径",2月22-23日,深圳,"￥6,920",1次/人,,
,,,,,,3月22-23日,上海,,,,
,,,,,,4月19-20日,广州,,,,
,,,,,,5月24-25日,上海,,,,
,,,,,,6月14-15日,深圳,,,,
,,,,,,7月19-20日,上海,,,,
,,,,,,9月20-21日,上海,,,,
,,,,,,9月27-28日,深圳,,,,
,,,,,,10月18-19日,深圳,,,,
,,,,,,11月22-23日,上海,,,,
,,,,,,12月13-14日,深圳,,,,
